id,especie,latitude,longitude
amp1001,Corythomantis greeningi,-8.68,-43.42194444
amp1001,Dendropsophus soaresi,-8.68,-43.42194444
amp1001,Dermatonotus muelleri,-8.68,-43.42194444
amp1001,Leptodactylus fuscus,-8.68,-43.42194444
amp1001,Leptodactylus macrosternum,-8.68,-43.42194444
amp1001,Leptodactylus mystaceus,-8.68,-43.42194444
amp1001,Leptodactylus troglodytes,-8.68,-43.42194444
amp1001,Leptodactylus vastus,-8.68,-43.42194444
amp1001,Pithecopus nordestinus,-8.68,-43.42194444
amp1001,Physalaemus albifrons,-8.68,-43.42194444
amp1001,Physalaemus cuvieri,-8.68,-43.42194444
amp1001,Proceratophrys cristiceps,-8.68,-43.42194444
amp1001,Rhinella granulosa,-8.68,-43.42194444
amp1001,Rhinella jimi,-8.68,-43.42194444
amp1001,Siphonops paulensis,-8.68,-43.42194444
amp1002,Dendropsophus microcephalus,-3.545527,-38.857833
amp1002,Dendropsophus nanus,-3.545527,-38.857833
amp1002,Elachistocleis piauiensis,-3.545527,-38.857833
amp1002,Boana raniceps,-3.545527,-38.857833
amp1002,Leptodactylus fuscus,-3.545527,-38.857833
amp1002,Leptodactylus macrosternum,-3.545527,-38.857833
amp1002,Leptodactylus mystaceus,-3.545527,-38.857833
amp1002,Leptodactylus pustulatus,-3.545527,-38.857833
amp1002,Leptodactylus troglodytes,-3.545527,-38.857833
amp1002,Physalaemus albifrons,-3.545527,-38.857833
amp1002,Physalaemus cuvieri,-3.545527,-38.857833
amp1002,Rhinella granulosa,-3.545527,-38.857833
amp1002,Rhinella jimi,-3.545527,-38.857833
amp1002,Scinax fuscomarginatus,-3.545527,-38.857833
amp1002,Scinax x-signatus,-3.545527,-38.857833
amp1003,Dermatonotus muelleri,-3.574194,-38.888694
amp1003,Elachistocleis piauiensis,-3.574194,-38.888694
amp1003,Boana raniceps,-3.574194,-38.888694
amp1003,Leptodactylus fuscus,-3.574194,-38.888694
amp1003,Leptodactylus macrosternum,-3.574194,-38.888694
amp1003,Leptodactylus mystaceus,-3.574194,-38.888694
amp1003,Leptodactylus pustulatus,-3.574194,-38.888694
amp1003,Pithecopus nordestinus,-3.574194,-38.888694
amp1003,Physalaemus albifrons,-3.574194,-38.888694
amp1003,Physalaemus cuvieri,-3.574194,-38.888694
amp1003,Pseudopaludicola mystacalis,-3.574194,-38.888694
amp1003,Rhinella jimi,-3.574194,-38.888694
amp1003,Scinax x-signatus,-3.574194,-38.888694
amp1004,Dermatonotus muelleri,-3.51525,-38.918805
amp1004,Elachistocleis piauiensis,-3.51525,-38.918805
amp1004,Boana raniceps,-3.51525,-38.918805
amp1004,Leptodactylus fuscus,-3.51525,-38.918805
amp1004,Leptodactylus macrosternum,-3.51525,-38.918805
amp1004,Leptodactylus mystaceus,-3.51525,-38.918805
amp1004,Leptodactylus pustulatus,-3.51525,-38.918805
amp1004,Physalaemus albifrons,-3.51525,-38.918805
amp1004,Physalaemus cuvieri,-3.51525,-38.918805
amp1004,Pseudopaludicola mystacalis,-3.51525,-38.918805
amp1004,Rhinella jimi,-3.51525,-38.918805
amp1004,Scinax x-signatus,-3.51525,-38.918805
amp1005,Rhinella crucifer,-4.280555556,-38.91083333
amp1005,Rhinella granulosa,-4.280555556,-38.91083333
amp1005,Rhinella schneideri,-4.280555556,-38.91083333
amp1005,Corythomantis greeningi,-4.280555556,-38.91083333
amp1005,Dendropsophus minutus,-4.280555556,-38.91083333
amp1005,Boana raniceps,-4.280555556,-38.91083333
amp1005,Scinax x-signatus,-4.280555556,-38.91083333
amp1005,Trachycephalus typhonius,-4.280555556,-38.91083333
amp1005,Adelophryne baturitensis,-4.280555556,-38.91083333
amp1005,Leptodactylus furnarius,-4.280555556,-38.91083333
amp1005,Leptodactylus labyrinthicus,-4.280555556,-38.91083333
amp1005,Leptodactylus mystaceus,-4.280555556,-38.91083333
amp1005,Leptodactylus natalensis,-4.280555556,-38.91083333
amp1005,Leptodactylus syphax,-4.280555556,-38.91083333
amp1005,Odontophrynus carvalhoi,-4.280555556,-38.91083333
amp1005,Proceratophrys cristiceps,-4.280555556,-38.91083333
amp1005,Dermatonotus muelleri,-4.280555556,-38.91083333
amp1006,Rhinella crucifer,-9.229166667,-36.42805556
amp1006,Rhinella granulosa,-9.229166667,-36.42805556
amp1006,Rhinella jimi,-9.229166667,-36.42805556
amp1006,Dermatonotus muelleri,-9.229166667,-36.42805556
amp1006,Dendropsophus branneri,-9.229166667,-36.42805556
amp1006,Dendropsophus decipiens,-9.229166667,-36.42805556
amp1006,Dendropsophus dutrai,-9.229166667,-36.42805556
amp1006,Dendropsophus elegans,-9.229166667,-36.42805556
amp1006,Dendropsophus haddadi,-9.229166667,-36.42805556
amp1006,Dendropsophus minutus,-9.229166667,-36.42805556
amp1006,Dendropsophus oliveirai,-9.229166667,-36.42805556
amp1006,Dendropsophus studerae,-9.229166667,-36.42805556
amp1006,Boana albomarginata,-9.229166667,-36.42805556
amp1006,Boana crepitans,-9.229166667,-36.42805556
amp1006,Boana exastis,-9.229166667,-36.42805556
amp1006,Boana faber,-9.229166667,-36.42805556
amp1006,Boana raniceps,-9.229166667,-36.42805556
amp1006,Boana semilineata,-9.229166667,-36.42805556
amp1006,Scinax auratus,-9.229166667,-36.42805556
amp1006,Scinax eurydice,-9.229166667,-36.42805556
amp1006,Scinax nebulosus,-9.229166667,-36.42805556
amp1006,Scinax pachycrus,-9.229166667,-36.42805556
amp1006,Scinax x-signatus,-9.229166667,-36.42805556
amp1006,Sphaenorhynchus prasinus,-9.229166667,-36.42805556
amp1006,Trachycephalus mesophaeus,-9.229166667,-36.42805556
amp1006,Hylomantis granulosa,-9.229166667,-36.42805556
amp1006,Pithecopus nordestinus,-9.229166667,-36.42805556
amp1006,Leptodactylus fuscus,-9.229166667,-36.42805556
amp1006,Leptodactylus latrans,-9.229166667,-36.42805556
